predicted,true,DSH
4.907756,4.57,-35
5.6816435,5.95,27
5.017285,5.04,-33
6.761268,6.59,38
6.940108,6.67,-31
5.5604854,5.9,26
5.6025004,5.74,-31
5.935052,5.62,26
5.9081116,5.78,-41
5.9927907,6.04,-31
6.873135,5.33,37
6.9352636,6.88,-36
6.3694234,5.95,-1
6.5621552,5.37,39
6.6128716,6.2,27
6.4055877,6.92,-24
6.344821,6.19,-24
7.285888,6.84,27
6.5212164,6.44,-35
5.6639457,5.12,-24
6.0560975,5.83,-31
6.472457,6.91,26
6.0382414,5.82,-41
5.964174,5.82,-37
5.7063327,5.61,-37
6.9223633,7.08,-39
6.914452,7.64,27
6.443403,6.08,-38
5.493101,5.18,-35
5.817985,5.48,-39
6.757481,6.34,27
4.6641335,4.55,-32
5.905158,5.74,-39
6.102918,6.2,-35
5.656787,5.32,-31
5.718599,5.34,-37
7.408636,6.88,26
6.204139,7.2,37
6.670893,6.75,37
5.6249285,5.32,-2
6.901186,6.53,-32
6.8992796,6.53,-40
6.1248755,6.59,-24
6.285526,6.25,-31
6.028131,5.43,-42
7.0904846,6.92,-39
6.1605706,5.79,-39
6.982755,6.94,-39
6.1504264,5.83,-1
6.7546287,6.83,-1
6.1189475,6.17,-2
6.348623,6.34,-1
5.897381,6.12,-33
5.1472764,4.57,-35
6.021374,6.04,-1
4.8607597,4.55,-2
7.0719867,6.92,-39
6.1673684,5.68,-34
6.217139,7.0,-25
6.2121596,5.48,-1
6.96209,6.9,27
7.0209284,6.88,38
5.750954,5.62,-32
6.5556245,6.88,-40
5.0359845,4.62,35
6.2936816,6.24,-31
5.9055552,5.95,-39
6.5989695,7.0,-2
6.55199,6.2,-35
5.9821463,5.68,0
5.7275157,5.22,27
6.9301453,6.24,-1
6.7901754,6.61,-30
6.356905,6.51,-40
6.819655,6.88,-40
6.1405253,6.25,-31
6.679815,6.71,-39
6.583986,6.65,38
5.6536956,5.04,-37
6.604901,5.79,-1
5.440372,5.74,-1
5.833239,3.93,38
6.799519,6.92,-32
5.6010633,5.28,-39
5.8427835,5.7,27
6.011582,6.24,27
6.7134967,6.2,38
5.055758,3.93,38
5.6710153,5.42,27
6.5684867,6.65,27
5.3334517,5.98,-1
5.788071,5.62,37
6.743016,6.24,-39
6.5865736,6.7,27
6.460356,6.51,26
7.56446,7.32,-34
6.4115567,5.89,-3
6.3506417,6.17,-40
6.8129325,6.59,-35
6.1529326,5.62,-36
6.1605487,6.12,-24
6.4620857,6.88,-32
6.057336,6.08,-36
7.0373845,7.0,-36
6.6106176,6.34,-35
7.0123415,6.88,-25
6.474647,6.71,-31
6.296904,6.62,-30
6.783314,7.05,-40
5.9685345,5.56,-36
6.016586,5.89,-41
7.16004,6.84,-39
6.39735,6.51,-40
5.1685815,3.93,-35
5.843402,5.64,25
6.7017236,6.91,-25
5.856572,5.78,36
5.7392154,5.73,-39
5.939547,6.17,37
6.358769,6.44,-41
6.0020223,6.08,26
6.9315343,6.32,-24
6.383732,6.25,-1
6.1466913,5.68,-38
5.516206,5.73,-31
5.411534,4.27,-26
4.789004,4.57,-39
5.4909363,5.22,-39
6.1179442,5.98,-23
6.3237114,6.53,-2
6.0644374,5.68,-40
5.9245124,6.65,-35
6.9004827,6.75,-25
5.4611773,5.43,-42
6.412258,6.91,-40
4.853048,4.57,-39
5.3612256,5.48,27
6.4658237,6.88,-40
6.4740252,6.08,-40
5.6179857,5.34,36
7.354753,7.34,-2
6.1973186,5.9,-25
5.8333483,5.7,-35
5.082253,4.55,-40
6.057523,5.83,-39
5.137025,6.59,27
5.8424506,5.37,-34
6.052424,6.13,-41
6.5134425,5.95,-39
6.4110193,6.25,-35
6.141954,5.89,36
6.6200213,6.19,-1
6.920683,6.88,26
6.71909,6.35,25
7.2476425,7.34,-36
5.5977764,5.04,-26
6.5819764,6.91,-25
5.9960647,5.37,-38
6.086789,6.25,38
6.324716,6.65,-31
5.8737116,6.53,37
6.225948,6.08,-2
5.9047112,5.98,-39
6.622365,6.92,-35
6.3395944,5.95,-35
6.661303,6.84,-24
6.7741966,6.75,-40
