predicted,true,DSH
4.155305,4.57,-35
5.969722,5.95,27
5.544862,5.04,-33
6.936245,6.59,38
6.7979774,6.67,-31
5.38845,5.9,26
5.564348,5.74,-31
5.9407983,5.62,26
5.85177,5.78,-41
6.092409,6.04,-31
6.5681734,5.33,37
6.8451476,6.88,-36
5.815162,5.95,-1
5.466487,5.37,39
6.1990995,6.2,27
6.544695,6.92,-24
6.293371,6.19,-24
6.9033546,6.84,27
6.1544514,6.44,-35
5.279285,5.12,-24
5.839319,5.83,-31
6.6649384,6.91,26
5.7393193,5.82,-41
5.8065176,5.82,-37
5.9535594,5.61,-37
7.2657127,7.08,-39
6.496195,7.64,27
5.942675,6.08,-38
5.0511003,5.18,-35
5.5704913,5.48,-39
6.4654784,6.34,27
4.2724886,4.55,-32
5.667808,5.74,-39
6.3317533,6.2,-35
5.3065953,5.32,-31
5.695216,5.34,-37
6.8040643,6.88,26
6.1541247,7.2,37
7.17434,6.75,37
5.2786026,5.32,-2
5.8733764,6.53,-32
6.3148456,6.53,-40
6.856438,6.59,-24
6.583633,6.25,-31
5.672152,5.43,-42
7.042927,6.92,-39
5.726545,5.79,-39
6.9152355,6.94,-39
6.0770125,5.83,-1
6.7994823,6.83,-1
6.035907,6.17,-2
6.3719163,6.34,-1
6.18265,6.12,-33
4.6444116,4.57,-35
6.520105,6.04,-1
5.122996,4.55,-2
7.236463,6.92,-39
5.7555375,5.68,-34
6.7049413,7.0,-25
5.386193,5.48,-1
6.6470084,6.9,27
6.0362015,6.88,38
6.1967607,5.62,-32
6.6048098,6.88,-40
4.731179,4.62,35
6.271313,6.24,-31
5.88938,5.95,-39
6.894539,7.0,-2
6.017574,6.2,-35
5.6780415,5.68,0
6.301763,5.22,27
6.7259846,6.24,-1
6.9440007,6.61,-30
6.387617,6.51,-40
6.4870086,6.88,-40
6.839434,6.25,-31
6.536073,6.71,-39
6.5843906,6.65,38
5.847311,5.04,-37
6.317213,5.79,-1
5.4426904,5.74,-1
4.9459934,3.93,38
6.6814237,6.92,-32
5.0829816,5.28,-39
5.5416646,5.7,27
5.7333016,6.24,27
6.277976,6.2,38
5.1372743,3.93,38
5.0642543,5.42,27
6.6238894,6.65,27
5.490888,5.98,-1
6.7376714,5.62,37
6.116813,6.24,-39
6.383736,6.7,27
6.561502,6.51,26
7.3377085,7.32,-34
6.0215693,5.89,-3
5.2388024,6.17,-40
6.3616123,6.59,-35
5.9265256,5.62,-36
6.039945,6.12,-24
6.0342083,6.88,-32
5.955147,6.08,-36
6.846447,7.0,-36
5.878866,6.34,-35
6.890933,6.88,-25
6.6594157,6.71,-31
6.1487074,6.62,-30
6.925922,7.05,-40
5.496966,5.56,-36
5.682578,5.89,-41
6.5589724,6.84,-39
5.551742,6.51,-40
4.8146253,3.93,-35
5.6008043,5.64,25
6.726601,6.91,-25
6.477818,5.78,36
5.7894692,5.73,-39
5.065467,6.17,37
6.3416905,6.44,-41
5.5380282,6.08,26
6.1714625,6.32,-24
6.505962,6.25,-1
5.5379987,5.68,-38
5.909291,5.73,-31
5.145546,4.27,-26
4.515362,4.57,-39
5.41379,5.22,-39
5.813746,5.98,-23
6.598799,6.53,-2
5.3735204,5.68,-40
6.3386693,6.65,-35
6.3769603,6.75,-25
5.320803,5.43,-42
6.8668494,6.91,-40
4.35406,4.57,-39
5.4507785,5.48,27
6.5047026,6.88,-40
5.9653683,6.08,-40
6.143002,5.34,36
7.2874174,7.34,-2
5.801922,5.9,-25
5.79771,5.7,-35
4.504745,4.55,-40
6.063906,5.83,-39
6.366175,6.59,27
5.5931478,5.37,-34
6.0687184,6.13,-41
6.143413,5.95,-39
6.3840585,6.25,-35
6.388889,5.89,36
6.4033265,6.19,-1
6.9469266,6.88,26
6.475216,6.35,25
7.2135406,7.34,-36
5.195,5.04,-26
6.6195054,6.91,-25
5.4144835,5.37,-38
6.957505,6.25,38
6.648547,6.65,-31
5.944979,6.53,37
5.9282255,6.08,-2
6.471805,5.98,-39
6.619135,6.92,-35
6.1415153,5.95,-35
6.541089,6.84,-24
6.418093,6.75,-40
5.8420887,5.61,-41
5.405061,4.98,35
5.5670805,6.32,-39
5.350324,5.32,26
6.439599,6.88,-40
6.559563,6.7,-1
6.1520076,6.83,38
5.8926635,5.98,-24
7.0812516,7.64,27
6.413304,6.44,-41
5.8019032,5.82,-33
6.3085246,6.39,-36
6.787284,6.84,-1
6.2789254,6.53,-40
5.473961,4.27,-41
6.5254807,6.88,37
6.1796722,6.59,-35
6.9794884,6.88,-35
5.551087,6.34,-31
6.3452697,6.75,-40
6.3590984,6.44,-1
5.9886546,5.98,-23
6.677109,6.88,-39
6.208098,5.89,36
5.243073,5.7,38
6.5372562,7.0,-32
7.1438947,6.84,-39
5.984673,5.9,-40
6.8659616,6.92,38
7.1816525,6.75,-2
5.997028,6.19,27
7.063208,6.92,-35
4.965153,5.04,25
6.0254464,5.33,26
6.2485194,6.12,-35
