predicted,true,DSH
6.5805273,6.76,-24
6.2663555,6.04,-39
6.812068,6.56,-35
6.642211,6.88,-31
5.6211834,6.35,25
6.249262,6.56,27
6.9000034,6.83,-35
5.6794357,5.78,-26
5.3897314,4.57,-31
6.2881746,6.13,-38
6.2612324,6.7,38
4.428398,3.92,-32
5.7791452,5.88,-40
5.435974,5.95,38
7.3936853,7.5,-40
6.366742,5.86,-24
7.2138186,7.2,-36
6.426139,7.05,37
6.5481462,6.36,-40
5.8869543,6.39,-40
6.5571566,6.34,37
6.399288,6.13,-30
5.5881596,6.35,25
6.3128576,6.99,29
5.994894,5.85,-29
6.0170927,5.89,-33
5.936591,5.56,-2
6.8643703,7.0,-2
6.868616,6.76,-24
5.7843466,5.7,-24
6.7731266,6.83,-31
5.374235,5.01,-41
6.5315084,6.88,-31
5.952772,5.94,-30
5.532918,5.73,-39
5.729579,5.53,-2
6.134965,5.61,36
5.791109,4.78,-2
5.717228,5.68,-23
7.6840506,7.68,29
5.9553404,6.72,29
6.074979,5.64,25
6.224448,6.67,-31
6.672368,6.61,-23
5.8704653,6.84,-1
5.7085667,6.94,-24
6.059394,6.62,-30
5.481306,5.18,-39
4.0503187,4.1,-40
6.062147,6.04,-35
5.3237305,5.18,-24
5.7527885,5.69,-2
6.0030146,5.89,-26
5.450841,5.31,-31
5.5632544,5.43,-34
6.035535,5.82,-41
6.119238,6.08,-36
6.6278563,7.05,-2
5.2840014,5.42,-35
6.0094385,6.12,-31
6.4329863,6.36,-32
5.21043,5.12,-1
6.2080517,6.44,41
6.7529726,6.71,38
3.882178,3.92,26
6.6373014,6.87,-24
6.392338,6.48,-38
5.709859,4.78,37
5.6406345,5.64,-36
5.926056,6.12,-24
6.506027,6.9,-24
5.885213,5.95,-1
5.694915,5.62,-25
6.426609,6.72,-37
5.739991,5.75,-3
7.0735197,7.09,26
6.559801,6.62,-39
5.8618126,5.68,-36
6.102106,5.89,-3
6.422492,6.44,-36
6.962888,6.88,-32
6.217862,6.36,-2
6.393381,6.48,-34
5.7321415,5.89,-41
5.4178066,5.98,-36
6.972885,6.88,-36
6.2187595,5.95,-39
6.6589622,6.68,-33
6.0261297,5.98,26
6.3922205,6.34,-25
5.370616,4.55,-36
6.5125294,5.64,37
5.910165,4.88,-35
6.210025,6.25,38
5.5431013,5.73,-39
5.225153,4.62,-42
6.907382,6.84,-35
5.5002966,5.68,0
6.157975,6.2,-39
6.5065155,6.72,-37
4.706992,4.27,-36
6.3655815,6.7,-1
5.335598,5.48,27
6.926776,6.88,26
6.707011,6.87,-39
5.2797146,4.62,35
7.2007647,7.98,-27
4.6331425,5.04,36
6.750698,6.83,37
7.0764217,6.84,-31
6.860696,7.08,-1
5.6875,5.85,29
5.547847,6.74,-2
4.468215,3.92,-32
7.147341,6.88,-40
6.2864285,6.55,38
5.8965645,5.9,37
4.9736834,6.68,1
5.9379873,5.64,26
6.458703,6.82,37
5.265011,5.32,37
6.3670015,6.44,-1
6.175171,4.98,-4
5.526433,6.28,27
5.3920536,6.12,-37
6.2760143,6.67,-31
5.7005663,5.74,-24
6.0287685,5.93,26
6.6864243,6.87,-39
6.0348024,5.93,-32
5.365753,5.31,-31
6.497406,5.82,-26
5.760437,5.64,-40
6.0772114,6.36,-2
