predicted,true,DSH
5.57854,5.78,36
5.7901335,4.66,37
5.428922,5.64,36
5.7146735,5.12,38
6.254926,3.93,38
5.693636,5.98,38
5.5372334,5.48,38
6.2775927,5.74,38
5.022219,4.57,38
5.4210563,5.18,38
6.598044,4.27,36
5.072823,5.28,38
6.8436313,6.32,38
5.073196,6.44,36
5.7219243,6.44,38
6.388844,4.62,35
5.9513187,5.37,39
4.6508803,6.61,39
6.224084,6.34,38
5.9766603,5.7,38
4.960136,5.68,39
5.3588743,5.25,37
5.9571486,5.9,37
6.070642,5.32,38
6.2994294,7.0,37
4.8292656,7.32,39
4.7265224,6.2,38
5.3072267,5.82,36
5.179905,5.95,38
4.632955,7.2,37
5.920641,5.32,37
5.5804048,6.39,37
8.017193,6.59,38
4.670675,5.43,35
5.567164,5.68,37
5.6483955,4.55,37
5.296542,5.22,38
6.1259456,5.34,36
6.8567076,6.65,38
6.032254,6.7,38
6.777034,6.92,37
5.434344,7.05,37
5.751508,6.24,38
6.393217,6.82,37
6.005624,6.59,38
5.6063695,6.48,39
6.73451,6.12,40
5.908426,5.42,38
5.6074204,7.64,38
5.5243096,6.91,37
6.445183,6.56,38
6.3525453,6.88,37
5.799146,6.88,37
5.4518266,7.34,37
5.987783,6.67,38
6.0017037,6.75,37
6.729744,5.62,37
5.2096596,6.13,36
5.7683916,6.74,37
5.431831,6.92,38
4.9978943,6.62,39
4.794434,6.83,38
5.4847436,5.33,37
5.292888,7.08,38
5.4073834,6.9,38
5.505001,6.92,38
4.7929106,6.08,39
5.178087,5.89,36
6.0651455,6.84,38
5.1948786,6.12,38
5.4864554,6.25,38
6.1750174,6.84,38
7.1680694,5.79,38
6.42333,5.98,39
6.079205,4.78,37
6.437513,5.73,38
5.597227,5.56,37
6.0244946,6.08,37
6.803472,5.04,36
6.9694257,6.51,37
5.5948334,6.35,36
7.4237514,6.62,38
5.8342314,5.61,36
5.8006945,6.17,37
5.018716,6.12,38
6.3443923,6.09,37
6.2440634,6.71,38
5.767836,4.98,35
6.417438,5.98,37
7.4467635,6.94,38
4.9363294,6.88,38
5.797499,5.95,38
5.29438,6.53,37
5.386736,6.04,38
5.2806726,5.83,38
5.2277255,6.19,38
4.9988837,5.78,36
6.0745196,4.66,37
5.4781947,5.64,36
5.6256394,5.12,38
6.433188,3.93,38
4.892857,5.98,38
5.3686824,5.48,38
5.068818,5.74,38
5.347857,4.57,38
5.5994997,5.18,38
6.83581,4.27,36
5.0986257,5.28,38
7.0496945,6.32,38
5.567966,6.44,36
5.677775,6.44,38
6.706199,4.62,35
5.503574,5.37,39
5.6366343,6.61,39
5.5353255,6.34,38
5.436518,5.7,38
5.9847693,5.68,39
5.8724475,5.25,37
5.7440543,5.9,37
6.3598957,5.32,38
6.393414,7.0,37
4.3807864,7.32,39
4.554373,6.2,38
6.1547894,5.82,36
5.551085,5.95,38
5.488585,7.2,37
6.1289535,5.32,37
5.6293077,6.39,37
7.427011,6.59,38
4.953296,5.43,35
5.692282,5.68,37
5.260473,4.55,37
4.649793,5.22,38
7.1873574,5.34,36
6.509038,6.65,38
6.247687,6.7,38
5.4821095,6.92,37
5.6404552,7.05,37
5.7236733,6.24,38
5.387876,6.82,37
6.1208043,6.59,38
5.633885,6.48,39
6.138247,6.12,40
5.6161847,5.42,38
7.204948,7.64,38
6.7969413,6.91,37
6.0290384,6.56,38
6.678983,6.88,37
5.313859,6.88,37
5.3718657,7.34,37
5.958491,6.67,38
5.138475,6.75,37
6.6279826,5.62,37
6.350845,6.13,36
5.589832,6.74,37
5.443232,6.92,38
6.3789787,6.62,39
5.369448,6.83,38
5.920875,5.33,37
5.6201024,7.08,38
6.148032,6.9,38
5.1825943,6.92,38
5.245849,6.08,39
5.9430614,5.89,36
6.831557,6.84,38
4.8981,6.12,38
5.5268397,6.25,38
6.527511,6.84,38
6.5192857,5.79,38
5.265921,5.98,39
6.1640844,4.78,37
5.780688,5.73,38
5.2699127,5.56,37
6.0518107,6.08,37
6.503753,5.04,36
7.090588,6.51,37
6.0770016,6.35,36
5.7307515,6.62,38
6.6986384,5.61,36
6.7156305,6.17,37
5.6857634,6.12,38
6.9542794,6.09,37
6.321348,6.71,38
5.3320456,4.98,35
6.039492,5.98,37
6.7545013,6.94,38
5.0282893,6.88,38
5.2474556,5.95,38
5.3210845,6.53,37
5.2972236,6.04,38
5.3717985,5.83,38
5.0845504,6.19,38
5.5522513,5.78,36
5.9662137,4.66,37
5.4831157,5.64,36
5.660494,5.12,38
6.236534,3.93,38
5.616666,5.98,38
5.444387,5.48,38
6.2016306,5.74,38
5.00423,4.57,38
5.4872017,5.18,38
6.5055914,4.27,36
5.014626,5.28,38
6.5528955,6.32,38
5.090107,6.44,36
5.6658087,6.44,38
6.384016,4.62,35
5.8598256,5.37,39
4.6104984,6.61,39
6.1292825,6.34,38
6.0011725,5.7,38
4.97231,5.68,39
5.4074306,5.25,37
6.0417647,5.9,37
6.030745,5.32,38
6.4566603,7.0,37
4.872013,7.32,39
4.643823,6.2,38
5.2657824,5.82,36
5.165258,5.95,38
4.685217,7.2,37
5.88701,5.32,37
5.4974337,6.39,37
7.890749,6.59,38
4.727312,5.43,35
5.7101517,5.68,37
5.461776,4.55,37
5.2234097,5.22,38
6.1683187,5.34,36
6.583263,6.65,38
5.9864197,6.7,38
6.789115,6.92,37
5.5307174,7.05,37
5.647205,6.24,38
6.2793465,6.82,37
5.9043317,6.59,38
