predicted,true,DSH
5.654711,6.48,-38
5.3403234,6.83,-39
6.396223,6.9,-39
5.5056295,6.24,-39
5.252084,6.09,-40
5.079483,5.18,-39
5.672366,6.12,-37
5.6883225,5.56,-40
5.811777,6.08,-40
4.9163084,5.12,-39
6.2240705,5.32,-40
6.477315,5.43,-42
4.795565,5.68,-38
4.9692655,4.98,-42
5.6385837,5.62,-40
6.397805,7.0,-40
5.169172,5.98,-39
6.258892,6.59,-39
5.71525,6.48,-38
4.8962965,5.73,-39
4.7523537,5.73,-39
5.6583567,6.12,-39
5.663772,6.61,-38
5.626087,5.83,-39
5.8569894,5.98,-38
6.411435,6.74,-40
6.5443172,6.59,-39
5.8181214,6.88,-40
5.9619474,4.62,-42
6.042427,6.62,-38
5.8877435,5.98,-39
5.929347,6.94,-39
5.0990686,6.74,-40
6.11882,6.59,-39
5.577948,4.98,-42
5.062794,5.79,-39
6.2978725,6.7,-39
6.295925,5.42,-39
4.084568,4.27,-41
5.1356745,5.25,-40
6.383777,6.12,-39
5.6555347,5.33,-40
5.940299,6.92,-39
6.126128,5.22,-39
6.155724,5.32,-40
5.4907956,5.9,-40
6.3209105,7.0,-40
5.275317,5.33,-40
6.477398,7.64,-39
6.0372047,6.84,-39
5.4287,5.42,-39
6.45207,6.83,-39
6.225333,4.66,-40
4.9349914,4.62,-42
5.652803,6.08,-40
6.190132,6.17,-40
5.806932,6.09,-40
5.2607627,5.48,-39
