N_level;dth;HD_day;GY
75kgN/ha;58;25.06.2022;5,78
75kgN/ha;59;26.06.2022;4,66
75kgN/ha;58;25.06.2022;5,64
75kgN/ha;60;27.06.2022;5,12
75kgN/ha;60;27.06.2022;3,93
75kgN/ha;60;27.06.2022;5,98
75kgN/ha;60;27.06.2022;5,48
75kgN/ha;60;27.06.2022;5,74
75kgN/ha;60;27.06.2022;4,57
75kgN/ha;60;27.06.2022;5,18
75kgN/ha;58;25.06.2022;4,27
75kgN/ha;60;27.06.2022;5,28
75kgN/ha;60;27.06.2022;6,32
75kgN/ha;58;25.06.2022;6,44
75kgN/ha;60;27.06.2022;6,44
75kgN/ha;57;24.06.2022;4,62
75kgN/ha;61;28.06.2022;5,37
75kgN/ha;61;28.06.2022;6,61
75kgN/ha;60;27.06.2022;6,34
75kgN/ha;60;27.06.2022;5,70
75kgN/ha;61;28.06.2022;5,68
75kgN/ha;59;26.06.2022;5,25
75kgN/ha;59;26.06.2022;5,90
75kgN/ha;60;27.06.2022;5,32
150kgN/ha;59;26.06.2022;7,00
150kgN/ha;61;28.06.2022;7,32
150kgN/ha;60;27.06.2022;6,20
150kgN/ha;58;25.06.2022;5,82
150kgN/ha;60;27.06.2022;5,95
150kgN/ha;59;26.06.2022;7,20
150kgN/ha;59;26.06.2022;5,32
150kgN/ha;59;26.06.2022;6,39
150kgN/ha;60;27.06.2022;6,59
150kgN/ha;57;24.06.2022;5,43
150kgN/ha;59;26.06.2022;5,68
150kgN/ha;59;26.06.2022;4,55
150kgN/ha;60;27.06.2022;5,22
150kgN/ha;58;25.06.2022;5,34
150kgN/ha;60;27.06.2022;6,65
150kgN/ha;60;27.06.2022;6,70
150kgN/ha;59;26.06.2022;6,92
150kgN/ha;59;26.06.2022;7,05
150kgN/ha;60;27.06.2022;6,24
150kgN/ha;59;26.06.2022;6,82
150kgN/ha;60;27.06.2022;6,59
150kgN/ha;61;28.06.2022;6,48
150kgN/ha;62;29.06.2022;6,12
150kgN/ha;60;27.06.2022;5,42
150kgN/ha;60;27.06.2022;7,64
150kgN/ha;59;26.06.2022;6,91
150kgN/ha;60;27.06.2022;6,56
150kgN/ha;59;26.06.2022;6,88
150kgN/ha;59;26.06.2022;6,88
150kgN/ha;59;26.06.2022;7,34
150kgN/ha;60;27.06.2022;6,67
150kgN/ha;59;26.06.2022;6,75
150kgN/ha;59;26.06.2022;5,62
150kgN/ha;58;25.06.2022;6,13
150kgN/ha;59;26.06.2022;6,74
150kgN/ha;60;27.06.2022;6,92
150kgN/ha;61;28.06.2022;6,62
150kgN/ha;60;27.06.2022;6,83
150kgN/ha;59;26.06.2022;5,33
150kgN/ha;60;27.06.2022;7,08
150kgN/ha;60;27.06.2022;6,90
150kgN/ha;60;27.06.2022;6,92
150kgN/ha;61;28.06.2022;
150kgN/ha;58;25.06.2022;5,89
150kgN/ha;60;27.06.2022;6,84
150kgN/ha;60;27.06.2022;6,12
150kgN/ha;60;27.06.2022;6,25
150kgN/ha;60;27.06.2022;6,84
75kgN/ha;60;27.06.2022;5,79
75kgN/ha;61;28.06.2022;5,98
75kgN/ha;59;26.06.2022;4,78
75kgN/ha;60;27.06.2022;5,73
75kgN/ha;59;26.06.2022;5,56
75kgN/ha;59;26.06.2022;
75kgN/ha;58;25.06.2022;5,04
75kgN/ha;59;26.06.2022;6,51
75kgN/ha;58;25.06.2022;6,35
75kgN/ha;60;27.06.2022;6,62
75kgN/ha;58;25.06.2022;5,61
75kgN/ha;59;26.06.2022;6,17
75kgN/ha;60;27.06.2022;6,12
75kgN/ha;59;26.06.2022;6,09
75kgN/ha;60;27.06.2022;6,71
75kgN/ha;57;24.06.2022;4,98
75kgN/ha;59;26.06.2022;5,98
75kgN/ha;60;27.06.2022;6,94
75kgN/ha;60;27.06.2022;6,88
75kgN/ha;60;27.06.2022;5,95
75kgN/ha;59;26.06.2022;6,53
75kgN/ha;60;27.06.2022;6,04
75kgN/ha;60;27.06.2022;5,83
75kgN/ha;60;27.06.2022;6,19
